Scam_Type,Scam_Description,Medium_Used,Target_Actions,Common_Phrases,Threat_Emotional,Threat_Financial,Threat_Financial/Emotional,Threat_Financial/Personal,Threat_Legal,Threat_Personal,threat_type_encoded,Threat_Type_1,Threat_Type_2,Threat_Type_3,Threat_Type_4,Threat_Type_5
Fake Law Enforcement Scams,Pretends to be someone else to steal personal or financial information.,Pop-ups,Pay for fake services,irs pay avoid legal action,0,0,0,1,0,0,3,0,0,1,0,0
Lottery Scams,Exploits online relationships to demand money or gifts.,Email,Donate to fake charity,youve claim prize paying fee,0,1,0,0,0,0,1,1,0,0,0,0
Lottery Scams,Asks for donations to fake causes or charities.,SMS,Make payment to avoid legal trouble,charity drive donate,0,0,0,1,0,0,3,0,0,1,0,0
Investment Scams,Promotes fake investment opportunities to steal money.,Phone,Donate to fake charity,need money emergency,0,0,0,0,1,0,4,0,0,0,1,0
Debt Collection Scams,Impersonates police or government to claim unpaid fines.,Phone,Invest in fake opportunity,confirm account details avoid suspension,0,0,0,0,1,0,4,0,0,0,1,0
Phishing Scams,Claims the victim's device is infected with malware and demands payment.,Dating Apps,Provide personal information,youve claim prize paying fee,0,0,0,1,0,0,3,0,0,1,0,0
Lottery Scams,Asks for donations to fake causes or charities.,Email,Send money or gifts,invest double money,0,0,0,1,0,0,3,0,0,1,0,0
Romance Scams,Exploits online relationships to demand money or gifts.,Pop-ups,Invest in fake opportunity,confirm account details avoid suspension,0,0,0,1,0,0,3,0,0,1,0,0
Extortion Scams,Exploits online relationships to demand money or gifts.,Dating Apps,Claim prize by paying fee,help im trouble,0,0,0,1,0,0,3,0,0,1,0,0
Investment Scams,Threatens to release personal data unless ransom is paid.,Phone,Make payment to avoid legal trouble,owe 500 pay immediately,0,0,0,1,0,0,3,0,0,1,0,0
Extortion Scams,Impersonates police or government to claim unpaid fines.,Phone,Claim prize by paying fee,irs pay avoid legal action,0,0,0,0,0,1,5,0,0,0,0,1
Tech Support Scams,Falsely claims unpaid debt and demands immediate payment.,Pop-ups,Pay fine to avoid arrest,help im trouble,0,0,1,0,0,0,2,0,1,0,0,0
Debt Collection Scams,Falsely claims unpaid debt and demands immediate payment.,Pop-ups,Claim prize by paying fee,irs pay avoid legal action,0,0,0,0,0,1,5,0,0,0,0,1
Phishing Scams,Impersonates police or government to claim unpaid fines.,Phone,Make payment to avoid legal trouble,help im trouble,0,0,0,0,1,0,4,0,0,0,1,0
Investment Scams,Tricks victims into providing sensitive information.,SMS,Send money or gifts,charity drive donate,0,0,1,0,0,0,2,0,1,0,0,0
Phishing Scams,Asks for donations to fake causes or charities.,SMS,Donate to fake charity,charity drive donate,0,0,1,0,0,0,2,0,1,0,0,0
Romance Scams,Falsely claims unpaid debt and demands immediate payment.,Email,Pay ransom,need money emergency,1,0,0,0,0,0,0,0,0,0,0,0
Debt Collection Scams,Promotes fake investment opportunities to steal money.,Email,Make payment to avoid legal trouble,confirm account details avoid suspension,1,0,0,0,0,0,0,0,0,0,0,0
Charity Scams,Exploits online relationships to demand money or gifts.,SMS,Invest in fake opportunity,account compromised act,0,1,0,0,0,0,1,1,0,0,0,0
Phishing Scams,Exploits online relationships to demand money or gifts.,Pop-ups,Donate to fake charity,need money emergency,0,0,1,0,0,0,2,0,1,0,0,0
Impersonation Scams,Threatens to release personal data unless ransom is paid.,Phone,Pay ransom,confirm account details avoid suspension,0,1,0,0,0,0,1,1,0,0,0,0
Charity Scams,Falsely claims unpaid debt and demands immediate payment.,Email,Invest in fake opportunity,invest double money,0,0,1,0,0,0,2,0,1,0,0,0
Charity Scams,Threatens to release personal data unless ransom is paid.,Dating Apps,Pay for fake services,irs pay avoid legal action,0,0,0,0,0,1,5,0,0,0,0,1
Charity Scams,Exploits online relationships to demand money or gifts.,Dating Apps,Claim prize by paying fee,help im trouble,0,0,0,0,0,1,5,0,0,0,0,1
Debt Collection Scams,Promotes fake investment opportunities to steal money.,Phone,Donate to fake charity,owe 500 pay immediately,0,0,0,1,0,0,3,0,0,1,0,0
Fake Law Enforcement Scams,Asks for donations to fake causes or charities.,Social Media,Pay for fake services,owe 500 pay immediately,1,0,0,0,0,0,0,0,0,0,0,0
Impersonation Scams,Claims the victim's device is infected with malware and demands payment.,SMS,Pay fine to avoid arrest,charity drive donate,0,0,1,0,0,0,2,0,1,0,0,0
Lottery Scams,Threatens to release personal data unless ransom is paid.,Pop-ups,Pay for fake services,help im trouble,0,0,1,0,0,0,2,0,1,0,0,0
Investment Scams,Claims the victim has won a prize and asks for payment to claim it.,SMS,Claim prize by paying fee,confirm account details avoid suspension,0,0,0,1,0,0,3,0,0,1,0,0
Impersonation Scams,Asks for donations to fake causes or charities.,Phone,Make payment to avoid legal trouble,need money emergency,0,1,0,0,0,0,1,1,0,0,0,0
Fake Law Enforcement Scams,Claims the victim has won a prize and asks for payment to claim it.,Pop-ups,Pay ransom,confirm account details avoid suspension,0,1,0,0,0,0,1,1,0,0,0,0
Fake Law Enforcement Scams,Threatens to release personal data unless ransom is paid.,Pop-ups,Pay fine to avoid arrest,invest double money,0,0,1,0,0,0,2,0,1,0,0,0
Lottery Scams,Claims the victim has won a prize and asks for payment to claim it.,Dating Apps,Claim prize by paying fee,invest double money,0,0,0,1,0,0,3,0,0,1,0,0
Impersonation Scams,Claims the victim's device is infected with malware and demands payment.,Phone,Provide personal information,owe 500 pay immediately,0,0,0,0,1,0,4,0,0,0,1,0
Extortion Scams,Impersonates police or government to claim unpaid fines.,SMS,Claim prize by paying fee,confirm account details avoid suspension,1,0,0,0,0,0,0,0,0,0,0,0
Investment Scams,Tricks victims into providing sensitive information.,Phone,Claim prize by paying fee,help im trouble,0,0,0,0,0,1,5,0,0,0,0,1
Charity Scams,Threatens to release personal data unless ransom is paid.,SMS,Pay ransom,confirm account details avoid suspension,0,0,1,0,0,0,2,0,1,0,0,0
Lottery Scams,Promotes fake investment opportunities to steal money.,Email,Claim prize by paying fee,irs pay avoid legal action,1,0,0,0,0,0,0,0,0,0,0,0
Impersonation Scams,Threatens to release personal data unless ransom is paid.,Social Media,Provide personal information,account compromised act,0,0,1,0,0,0,2,0,1,0,0,0
Charity Scams,Claims the victim has won a prize and asks for payment to claim it.,Dating Apps,Send money or gifts,youve claim prize paying fee,0,0,0,1,0,0,3,0,0,1,0,0
Extortion Scams,Exploits online relationships to demand money or gifts.,Phone,Pay for fake services,account compromised act,0,1,0,0,0,0,1,1,0,0,0,0
Charity Scams,Pretends to be someone else to steal personal or financial information.,Dating Apps,Make payment to avoid legal trouble,device infected call us fix,1,0,0,0,0,0,0,0,0,0,0,0
Lottery Scams,Claims the victim has won a prize and asks for payment to claim it.,Phone,Make payment to avoid legal trouble,owe 500 pay immediately,0,0,0,1,0,0,3,0,0,1,0,0
Romance Scams,Threatens to release personal data unless ransom is paid.,Social Media,Pay ransom,owe 500 pay immediately,0,0,1,0,0,0,2,0,1,0,0,0
Tech Support Scams,Claims the victim has won a prize and asks for payment to claim it.,Social Media,Invest in fake opportunity,youve claim prize paying fee,1,0,0,0,0,0,0,0,0,0,0,0
Phishing Scams,Exploits online relationships to demand money or gifts.,Dating Apps,Provide personal information,help im trouble,0,0,0,1,0,0,3,0,0,1,0,0
Charity Scams,Impersonates police or government to claim unpaid fines.,Phone,Pay for fake services,owe 500 pay immediately,0,0,0,1,0,0,3,0,0,1,0,0
Extortion Scams,Threatens to release personal data unless ransom is paid.,Phone,Provide personal information,irs pay avoid legal action,1,0,0,0,0,0,0,0,0,0,0,0
Charity Scams,Falsely claims unpaid debt and demands immediate payment.,SMS,Invest in fake opportunity,youve claim prize paying fee,0,0,0,0,0,1,5,0,0,0,0,1
Debt Collection Scams,Falsely claims unpaid debt and demands immediate payment.,SMS,Make payment to avoid legal trouble,help im trouble,1,0,0,0,0,0,0,0,0,0,0,0
Impersonation Scams,Pretends to be someone else to steal personal or financial information.,Dating Apps,Send money or gifts,account compromised act,0,0,1,0,0,0,2,0,1,0,0,0
Tech Support Scams,Tricks victims into providing sensitive information.,SMS,Invest in fake opportunity,account compromised act,0,1,0,0,0,0,1,1,0,0,0,0
Tech Support Scams,Asks for donations to fake causes or charities.,Phone,Provide personal information,account compromised act,0,0,0,0,0,1,5,0,0,0,0,1
Fake Law Enforcement Scams,Promotes fake investment opportunities to steal money.,Dating Apps,Provide personal information,confirm account details avoid suspension,0,1,0,0,0,0,1,1,0,0,0,0
Extortion Scams,Falsely claims unpaid debt and demands immediate payment.,Social Media,Make payment to avoid legal trouble,youve claim prize paying fee,0,0,0,0,1,0,4,0,0,0,1,0
Charity Scams,Threatens to release personal data unless ransom is paid.,Social Media,Pay fine to avoid arrest,invest double money,0,0,1,0,0,0,2,0,1,0,0,0
Debt Collection Scams,Promotes fake investment opportunities to steal money.,SMS,Send money or gifts,owe 500 pay immediately,0,0,0,0,1,0,4,0,0,0,1,0
Fake Law Enforcement Scams,Pretends to be someone else to steal personal or financial information.,SMS,Pay ransom,charity drive donate,0,0,0,1,0,0,3,0,0,1,0,0
Fake Law Enforcement Scams,Falsely claims unpaid debt and demands immediate payment.,Pop-ups,Pay for fake services,irs pay avoid legal action,0,0,0,0,0,1,5,0,0,0,0,1
Investment Scams,Exploits online relationships to demand money or gifts.,Phone,Pay for fake services,confirm account details avoid suspension,0,1,0,0,0,0,1,1,0,0,0,0
Tech Support Scams,Asks for donations to fake causes or charities.,Phone,Pay ransom,irs pay avoid legal action,0,0,1,0,0,0,2,0,1,0,0,0
Debt Collection Scams,Tricks victims into providing sensitive information.,Phone,Provide personal information,irs pay avoid legal action,0,0,1,0,0,0,2,0,1,0,0,0
Tech Support Scams,Promotes fake investment opportunities to steal money.,Phone,Pay ransom,account compromised act,0,1,0,0,0,0,1,1,0,0,0,0
Fake Law Enforcement Scams,Asks for donations to fake causes or charities.,Dating Apps,Send money or gifts,confirm account details avoid suspension,1,0,0,0,0,0,0,0,0,0,0,0
Tech Support Scams,Promotes fake investment opportunities to steal money.,Phone,Pay ransom,confirm account details avoid suspension,1,0,0,0,0,0,0,0,0,0,0,0
Debt Collection Scams,Threatens to release personal data unless ransom is paid.,Pop-ups,Invest in fake opportunity,account compromised act,0,0,1,0,0,0,2,0,1,0,0,0
Extortion Scams,Exploits online relationships to demand money or gifts.,Pop-ups,Claim prize by paying fee,irs pay avoid legal action,0,0,0,0,1,0,4,0,0,0,1,0
Lottery Scams,Impersonates police or government to claim unpaid fines.,Social Media,Pay for fake services,charity drive donate,0,0,0,0,0,1,5,0,0,0,0,1
Extortion Scams,Impersonates police or government to claim unpaid fines.,Pop-ups,Invest in fake opportunity,account compromised act,0,0,0,0,0,1,5,0,0,0,0,1
Lottery Scams,Claims the victim's device is infected with malware and demands payment.,Dating Apps,Pay fine to avoid arrest,help im trouble,0,0,0,0,0,1,5,0,0,0,0,1
Fake Law Enforcement Scams,Falsely claims unpaid debt and demands immediate payment.,Phone,Pay for fake services,irs pay avoid legal action,1,0,0,0,0,0,0,0,0,0,0,0
Lottery Scams,Asks for donations to fake causes or charities.,Phone,Donate to fake charity,owe 500 pay immediately,0,0,0,1,0,0,3,0,0,1,0,0
Tech Support Scams,Asks for donations to fake causes or charities.,Pop-ups,Send money or gifts,irs pay avoid legal action,1,0,0,0,0,0,0,0,0,0,0,0
Tech Support Scams,Pretends to be someone else to steal personal or financial information.,Phone,Pay for fake services,device infected call us fix,0,0,0,0,1,0,4,0,0,0,1,0
Fake Law Enforcement Scams,Promotes fake investment opportunities to steal money.,Phone,Donate to fake charity,irs pay avoid legal action,0,0,0,1,0,0,3,0,0,1,0,0
Debt Collection Scams,Claims the victim's device is infected with malware and demands payment.,SMS,Send money or gifts,owe 500 pay immediately,0,1,0,0,0,0,1,1,0,0,0,0
Extortion Scams,Claims the victim has won a prize and asks for payment to claim it.,Dating Apps,Invest in fake opportunity,charity drive donate,0,0,0,1,0,0,3,0,0,1,0,0
Impersonation Scams,Claims the victim has won a prize and asks for payment to claim it.,Pop-ups,Provide personal information,owe 500 pay immediately,1,0,0,0,0,0,0,0,0,0,0,0
Investment Scams,Claims the victim has won a prize and asks for payment to claim it.,Email,Send money or gifts,need money emergency,0,0,0,0,1,0,4,0,0,0,1,0
Debt Collection Scams,Claims the victim has won a prize and asks for payment to claim it.,Phone,Donate to fake charity,charity drive donate,0,0,1,0,0,0,2,0,1,0,0,0
Romance Scams,Pretends to be someone else to steal personal or financial information.,Dating Apps,Claim prize by paying fee,help im trouble,0,1,0,0,0,0,1,1,0,0,0,0
Extortion Scams,Threatens to release personal data unless ransom is paid.,Email,Send money or gifts,device infected call us fix,0,0,1,0,0,0,2,0,1,0,0,0
Phishing Scams,Impersonates police or government to claim unpaid fines.,Social Media,Donate to fake charity,irs pay avoid legal action,0,0,0,0,1,0,4,0,0,0,1,0
Extortion Scams,Promotes fake investment opportunities to steal money.,Email,Pay for fake services,owe 500 pay immediately,0,1,0,0,0,0,1,1,0,0,0,0
Romance Scams,Asks for donations to fake causes or charities.,Dating Apps,Claim prize by paying fee,youve claim prize paying fee,0,0,0,0,1,0,4,0,0,0,1,0
Phishing Scams,Tricks victims into providing sensitive information.,SMS,Claim prize by paying fee,youve claim prize paying fee,0,0,0,0,0,1,5,0,0,0,0,1
Romance Scams,Exploits online relationships to demand money or gifts.,Email,Pay for fake services,account compromised act,1,0,0,0,0,0,0,0,0,0,0,0
Extortion Scams,Promotes fake investment opportunities to steal money.,Phone,Send money or gifts,device infected call us fix,0,0,0,0,1,0,4,0,0,0,1,0
Romance Scams,Tricks victims into providing sensitive information.,Social Media,Claim prize by paying fee,owe 500 pay immediately,1,0,0,0,0,0,0,0,0,0,0,0
Phishing Scams,Threatens to release personal data unless ransom is paid.,Pop-ups,Provide personal information,irs pay avoid legal action,0,0,1,0,0,0,2,0,1,0,0,0
Investment Scams,Claims the victim's device is infected with malware and demands payment.,Email,Pay ransom,device infected call us fix,0,0,0,1,0,0,3,0,0,1,0,0
Tech Support Scams,Threatens to release personal data unless ransom is paid.,Email,Pay ransom,irs pay avoid legal action,1,0,0,0,0,0,0,0,0,0,0,0
Charity Scams,Threatens to release personal data unless ransom is paid.,SMS,Claim prize by paying fee,confirm account details avoid suspension,1,0,0,0,0,0,0,0,0,0,0,0
Charity Scams,Threatens to release personal data unless ransom is paid.,SMS,Claim prize by paying fee,youve claim prize paying fee,0,1,0,0,0,0,1,1,0,0,0,0
Impersonation Scams,Impersonates police or government to claim unpaid fines.,Email,Make payment to avoid legal trouble,owe 500 pay immediately,0,1,0,0,0,0,1,1,0,0,0,0
Phishing Scams,Exploits online relationships to demand money or gifts.,Pop-ups,Donate to fake charity,confirm account details avoid suspension,1,0,0,0,0,0,0,0,0,0,0,0
Debt Collection Scams,Impersonates police or government to claim unpaid fines.,Social Media,Make payment to avoid legal trouble,need money emergency,0,0,1,0,0,0,2,0,1,0,0,0
Lottery Scams,Asks for donations to fake causes or charities.,Social Media,Invest in fake opportunity,device infected call us fix,0,0,0,0,0,1,5,0,0,0,0,1
Phishing Scams,Falsely claims unpaid debt and demands immediate payment.,Dating Apps,Pay for fake services,irs pay avoid legal action,0,0,0,0,0,1,5,0,0,0,0,1
Phishing Scams,Pretends to be someone else to steal personal or financial information.,SMS,Pay for fake services,invest double money,0,0,0,0,0,1,5,0,0,0,0,1
Debt Collection Scams,Tricks victims into providing sensitive information.,SMS,Donate to fake charity,account compromised act,0,0,0,0,1,0,4,0,0,0,1,0
Tech Support Scams,Claims the victim has won a prize and asks for payment to claim it.,Social Media,Pay for fake services,youve claim prize paying fee,1,0,0,0,0,0,0,0,0,0,0,0
Romance Scams,Exploits online relationships to demand money or gifts.,Email,Provide personal information,need money emergency,0,0,0,0,0,1,5,0,0,0,0,1
Fake Law Enforcement Scams,Tricks victims into providing sensitive information.,Pop-ups,Pay fine to avoid arrest,owe 500 pay immediately,0,0,1,0,0,0,2,0,1,0,0,0
Debt Collection Scams,Tricks victims into providing sensitive information.,Dating Apps,Donate to fake charity,confirm account details avoid suspension,1,0,0,0,0,0,0,0,0,0,0,0
Debt Collection Scams,Claims the victim's device is infected with malware and demands payment.,Pop-ups,Send money or gifts,youve claim prize paying fee,0,0,1,0,0,0,2,0,1,0,0,0
Extortion Scams,Exploits online relationships to demand money or gifts.,Email,Pay ransom,help im trouble,0,0,0,0,1,0,4,0,0,0,1,0
Tech Support Scams,Claims the victim's device is infected with malware and demands payment.,Dating Apps,Send money or gifts,owe 500 pay immediately,0,0,0,0,0,1,5,0,0,0,0,1
Tech Support Scams,Promotes fake investment opportunities to steal money.,Email,Pay ransom,account compromised act,0,0,0,0,1,0,4,0,0,0,1,0
Impersonation Scams,Claims the victim has won a prize and asks for payment to claim it.,Email,Donate to fake charity,account compromised act,1,0,0,0,0,0,0,0,0,0,0,0
Tech Support Scams,Promotes fake investment opportunities to steal money.,Pop-ups,Pay ransom,invest double money,0,0,1,0,0,0,2,0,1,0,0,0
Debt Collection Scams,Tricks victims into providing sensitive information.,Email,Make payment to avoid legal trouble,need money emergency,0,0,0,0,0,1,5,0,0,0,0,1
Lottery Scams,Claims the victim has won a prize and asks for payment to claim it.,Social Media,Provide personal information,owe 500 pay immediately,1,0,0,0,0,0,0,0,0,0,0,0
Charity Scams,Claims the victim's device is infected with malware and demands payment.,Email,Pay ransom,need money emergency,0,1,0,0,0,0,1,1,0,0,0,0
Extortion Scams,Claims the victim has won a prize and asks for payment to claim it.,Pop-ups,Pay fine to avoid arrest,invest double money,0,0,0,0,1,0,4,0,0,0,1,0
Extortion Scams,Asks for donations to fake causes or charities.,Email,Donate to fake charity,youve claim prize paying fee,0,0,1,0,0,0,2,0,1,0,0,0
Impersonation Scams,Tricks victims into providing sensitive information.,Social Media,Claim prize by paying fee,device infected call us fix,0,0,0,1,0,0,3,0,0,1,0,0
Romance Scams,Falsely claims unpaid debt and demands immediate payment.,Pop-ups,Invest in fake opportunity,need money emergency,0,0,0,0,0,1,5,0,0,0,0,1
Tech Support Scams,Threatens to release personal data unless ransom is paid.,Dating Apps,Pay for fake services,account compromised act,0,1,0,0,0,0,1,1,0,0,0,0
Romance Scams,Exploits online relationships to demand money or gifts.,Pop-ups,Claim prize by paying fee,device infected call us fix,0,0,0,0,0,1,5,0,0,0,0,1
Fake Law Enforcement Scams,Claims the victim's device is infected with malware and demands payment.,Social Media,Invest in fake opportunity,owe 500 pay immediately,1,0,0,0,0,0,0,0,0,0,0,0
Impersonation Scams,Claims the victim has won a prize and asks for payment to claim it.,Social Media,Pay for fake services,confirm account details avoid suspension,0,1,0,0,0,0,1,1,0,0,0,0
Impersonation Scams,Exploits online relationships to demand money or gifts.,Phone,Invest in fake opportunity,youve claim prize paying fee,0,1,0,0,0,0,1,1,0,0,0,0
Charity Scams,Pretends to be someone else to steal personal or financial information.,Pop-ups,Claim prize by paying fee,account compromised act,1,0,0,0,0,0,0,0,0,0,0,0
Fake Law Enforcement Scams,Threatens to release personal data unless ransom is paid.,Dating Apps,Send money or gifts,need money emergency,1,0,0,0,0,0,0,0,0,0,0,0
Lottery Scams,Claims the victim's device is infected with malware and demands payment.,Social Media,Pay ransom,confirm account details avoid suspension,0,0,0,0,0,1,5,0,0,0,0,1
Romance Scams,Asks for donations to fake causes or charities.,Social Media,Provide personal information,help im trouble,0,0,0,1,0,0,3,0,0,1,0,0
Impersonation Scams,Pretends to be someone else to steal personal or financial information.,Dating Apps,Donate to fake charity,need money emergency,0,1,0,0,0,0,1,1,0,0,0,0
Romance Scams,Promotes fake investment opportunities to steal money.,Pop-ups,Pay ransom,confirm account details avoid suspension,1,0,0,0,0,0,0,0,0,0,0,0
Impersonation Scams,Claims the victim has won a prize and asks for payment to claim it.,Pop-ups,Donate to fake charity,account compromised act,0,0,1,0,0,0,2,0,1,0,0,0
Romance Scams,Claims the victim has won a prize and asks for payment to claim it.,SMS,Make payment to avoid legal trouble,invest double money,0,0,0,0,0,1,5,0,0,0,0,1
Charity Scams,Asks for donations to fake causes or charities.,Phone,Provide personal information,device infected call us fix,1,0,0,0,0,0,0,0,0,0,0,0
Debt Collection Scams,Impersonates police or government to claim unpaid fines.,Phone,Provide personal information,youve claim prize paying fee,0,1,0,0,0,0,1,1,0,0,0,0
Charity Scams,Impersonates police or government to claim unpaid fines.,SMS,Make payment to avoid legal trouble,owe 500 pay immediately,0,1,0,0,0,0,1,1,0,0,0,0
Debt Collection Scams,Threatens to release personal data unless ransom is paid.,Social Media,Donate to fake charity,need money emergency,1,0,0,0,0,0,0,0,0,0,0,0
Charity Scams,Falsely claims unpaid debt and demands immediate payment.,Email,Send money or gifts,account compromised act,0,0,0,1,0,0,3,0,0,1,0,0
Impersonation Scams,Promotes fake investment opportunities to steal money.,Dating Apps,Provide personal information,help im trouble,0,0,0,0,1,0,4,0,0,0,1,0
Impersonation Scams,Claims the victim has won a prize and asks for payment to claim it.,Email,Pay ransom,device infected call us fix,1,0,0,0,0,0,0,0,0,0,0,0
Extortion Scams,Claims the victim has won a prize and asks for payment to claim it.,SMS,Pay fine to avoid arrest,charity drive donate,0,0,1,0,0,0,2,0,1,0,0,0
Impersonation Scams,Claims the victim's device is infected with malware and demands payment.,SMS,Invest in fake opportunity,youve claim prize paying fee,0,1,0,0,0,0,1,1,0,0,0,0
Investment Scams,Impersonates police or government to claim unpaid fines.,Phone,Donate to fake charity,owe 500 pay immediately,1,0,0,0,0,0,0,0,0,0,0,0
Impersonation Scams,Tricks victims into providing sensitive information.,Pop-ups,Pay ransom,confirm account details avoid suspension,0,0,0,1,0,0,3,0,0,1,0,0
Fake Law Enforcement Scams,Claims the victim's device is infected with malware and demands payment.,Pop-ups,Provide personal information,irs pay avoid legal action,0,1,0,0,0,0,1,1,0,0,0,0
Tech Support Scams,Impersonates police or government to claim unpaid fines.,Social Media,Make payment to avoid legal trouble,confirm account details avoid suspension,0,0,0,0,1,0,4,0,0,0,1,0
Investment Scams,Impersonates police or government to claim unpaid fines.,Dating Apps,Claim prize by paying fee,charity drive donate,0,1,0,0,0,0,1,1,0,0,0,0
Investment Scams,Threatens to release personal data unless ransom is paid.,Email,Invest in fake opportunity,charity drive donate,0,0,0,0,1,0,4,0,0,0,1,0
Lottery Scams,Impersonates police or government to claim unpaid fines.,Dating Apps,Pay ransom,youve claim prize paying fee,1,0,0,0,0,0,0,0,0,0,0,0
Impersonation Scams,Threatens to release personal data unless ransom is paid.,Email,Donate to fake charity,account compromised act,0,0,1,0,0,0,2,0,1,0,0,0
Romance Scams,Claims the victim's device is infected with malware and demands payment.,Pop-ups,Provide personal information,account compromised act,0,0,1,0,0,0,2,0,1,0,0,0
Phishing Scams,Asks for donations to fake causes or charities.,SMS,Send money or gifts,help im trouble,0,0,0,0,1,0,4,0,0,0,1,0
Phishing Scams,Pretends to be someone else to steal personal or financial information.,SMS,Pay fine to avoid arrest,charity drive donate,0,0,0,0,0,1,5,0,0,0,0,1
Phishing Scams,Claims the victim has won a prize and asks for payment to claim it.,Dating Apps,Pay ransom,youve claim prize paying fee,0,0,0,0,1,0,4,0,0,0,1,0
Investment Scams,Asks for donations to fake causes or charities.,SMS,Claim prize by paying fee,account compromised act,0,0,0,1,0,0,3,0,0,1,0,0
Lottery Scams,Claims the victim's device is infected with malware and demands payment.,SMS,Pay for fake services,confirm account details avoid suspension,0,0,0,0,0,1,5,0,0,0,0,1
Lottery Scams,Pretends to be someone else to steal personal or financial information.,SMS,Provide personal information,need money emergency,0,1,0,0,0,0,1,1,0,0,0,0
Impersonation Scams,Threatens to release personal data unless ransom is paid.,Social Media,Donate to fake charity,charity drive donate,1,0,0,0,0,0,0,0,0,0,0,0
Impersonation Scams,Asks for donations to fake causes or charities.,Dating Apps,Send money or gifts,need money emergency,0,0,0,1,0,0,3,0,0,1,0,0
Impersonation Scams,Asks for donations to fake causes or charities.,Phone,Provide personal information,charity drive donate,0,0,0,0,0,1,5,0,0,0,0,1
Extortion Scams,Tricks victims into providing sensitive information.,Social Media,Provide personal information,account compromised act,0,0,1,0,0,0,2,0,1,0,0,0
Impersonation Scams,Pretends to be someone else to steal personal or financial information.,SMS,Donate to fake charity,charity drive donate,0,0,0,0,0,1,5,0,0,0,0,1
Fake Law Enforcement Scams,Tricks victims into providing sensitive information.,Phone,Send money or gifts,confirm account details avoid suspension,1,0,0,0,0,0,0,0,0,0,0,0
Investment Scams,Promotes fake investment opportunities to steal money.,Email,Send money or gifts,owe 500 pay immediately,0,0,0,0,1,0,4,0,0,0,1,0
Debt Collection Scams,Tricks victims into providing sensitive information.,Social Media,Make payment to avoid legal trouble,youve claim prize paying fee,1,0,0,0,0,0,0,0,0,0,0,0
Impersonation Scams,Claims the victim's device is infected with malware and demands payment.,Dating Apps,Claim prize by paying fee,need money emergency,0,0,0,1,0,0,3,0,0,1,0,0
Charity Scams,Asks for donations to fake causes or charities.,Phone,Provide personal information,irs pay avoid legal action,0,0,0,0,0,1,5,0,0,0,0,1
Debt Collection Scams,Threatens to release personal data unless ransom is paid.,Social Media,Claim prize by paying fee,need money emergency,0,0,0,0,1,0,4,0,0,0,1,0
Tech Support Scams,Claims the victim's device is infected with malware and demands payment.,Phone,Pay fine to avoid arrest,confirm account details avoid suspension,0,0,0,1,0,0,3,0,0,1,0,0
Impersonation Scams,Asks for donations to fake causes or charities.,Email,Pay ransom,help im trouble,0,0,0,1,0,0,3,0,0,1,0,0
Investment Scams,Asks for donations to fake causes or charities.,Social Media,Claim prize by paying fee,irs pay avoid legal action,0,0,0,0,0,1,5,0,0,0,0,1
Investment Scams,Asks for donations to fake causes or charities.,Social Media,Send money or gifts,account compromised act,0,0,0,1,0,0,3,0,0,1,0,0
Impersonation Scams,Threatens to release personal data unless ransom is paid.,Pop-ups,Provide personal information,account compromised act,0,0,1,0,0,0,2,0,1,0,0,0
Tech Support Scams,Pretends to be someone else to steal personal or financial information.,Phone,Donate to fake charity,youve claim prize paying fee,0,1,0,0,0,0,1,1,0,0,0,0
Debt Collection Scams,Impersonates police or government to claim unpaid fines.,Phone,Make payment to avoid legal trouble,irs pay avoid legal action,0,0,0,1,0,0,3,0,0,1,0,0
Impersonation Scams,Impersonates police or government to claim unpaid fines.,SMS,Claim prize by paying fee,youve claim prize paying fee,1,0,0,0,0,0,0,0,0,0,0,0
Extortion Scams,Threatens to release personal data unless ransom is paid.,SMS,Invest in fake opportunity,charity drive donate,0,0,0,0,0,1,5,0,0,0,0,1
Tech Support Scams,Tricks victims into providing sensitive information.,Pop-ups,Pay for fake services,device infected call us fix,0,0,0,0,0,1,5,0,0,0,0,1
Romance Scams,Threatens to release personal data unless ransom is paid.,Dating Apps,Pay for fake services,irs pay avoid legal action,0,0,0,0,0,1,5,0,0,0,0,1
Tech Support Scams,Threatens to release personal data unless ransom is paid.,SMS,Donate to fake charity,help im trouble,1,0,0,0,0,0,0,0,0,0,0,0
Extortion Scams,Threatens to release personal data unless ransom is paid.,Phone,Donate to fake charity,account compromised act,0,1,0,0,0,0,1,1,0,0,0,0
Lottery Scams,Falsely claims unpaid debt and demands immediate payment.,Social Media,Provide personal information,invest double money,0,0,1,0,0,0,2,0,1,0,0,0
Romance Scams,Threatens to release personal data unless ransom is paid.,Social Media,Pay for fake services,confirm account details avoid suspension,0,0,0,0,0,1,5,0,0,0,0,1
Extortion Scams,Pretends to be someone else to steal personal or financial information.,Dating Apps,Invest in fake opportunity,invest double money,1,0,0,0,0,0,0,0,0,0,0,0
Lottery Scams,Falsely claims unpaid debt and demands immediate payment.,Pop-ups,Pay for fake services,account compromised act,0,0,0,0,1,0,4,0,0,0,1,0
Charity Scams,Falsely claims unpaid debt and demands immediate payment.,Pop-ups,Invest in fake opportunity,youve claim prize paying fee,1,0,0,0,0,0,0,0,0,0,0,0
